page;paragraph_enum;text;clean_text;x0;y0;x1;y1;left;right;bottom;top;width;height
1;1;"ADVOCACIA-GERAL DA UNIÃO
PROCURADORIA-GERAL FEDERAL
PROCURADORIA REGIONAL FEDERAL – 4ª REGIÃO
";ADVOCACIA-GERAL DA UNIÃO PROCURADORIA-GERAL FEDERAL PROCURADORIA REGIONAL FEDERAL – 4ª REGIÃO;171.88999938964844;101.80000305175781;423.2987365722656;132.7344512939453;171.88999938964844;423.2987365722656;709.0655975341797;740.0000457763672;251.4087371826172;30.9344482421875
1;2;"EXCELENTÍSSIMO 
SENHOR 
DESEMBARGADOR 
FEDERAL, 
VICE-
PRESIDENTE DO EGRÉGIO TRIBUNAL REGIONAL FEDERAL DA 4ª REGIÃO:
";EXCELENTÍSSIMO SENHOR DESEMBARGADOR FEDERAL, VICE- PRESIDENTE DO EGRÉGIO TRIBUNAL REGIONAL FEDERAL DA 4ª REGIÃO:;85.10399627685547;145.68666076660156;510.0122375488281;172.17572021484375;85.10399627685547;510.0122375488281;669.6243286132812;696.1133880615234;424.90824127197266;26.489059448242188
1;3;"O INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS, nos 
autos do processo em referência, por intermédio da Procuradora Federal que a esta
subscreve, vem, respeitosamente, à presença de Vossa Excelência, com fundamento na 
alínea “a“ do inciso III do art. 102 da Constituição Federal, apresentar
 RECURSO EXTRAORDINÁRIO
";O INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS, nos autos do processo em referência, por intermédio da Procuradora Federal que a esta subscreve, vem, respeitosamente, à presença de Vossa Excelência, com fundamento na alínea “a“ do inciso III do art. 102 da Constituição Federal, apresentar;85.10398864746094;305.1966552734375;513.1400146484375;398.4057312011719;85.10398864746094;513.1400146484375;443.3943176269531;536.6033935546875;428.03602600097656;93.20907592773438
1;5;"para o Supremo Tribunal Federal, requerendo seja admitido e remetido, com as anexas 
razões, após os trâmites legais.
";para o Supremo Tribunal Federal, requerendo seja admitido e remetido, com as anexas razões, após os trâmites legais.;85.1039810180664;424.7366638183594;512.5441284179688;451.3457336425781;85.1039810180664;512.5441284179688;390.4543151855469;417.0633850097656;427.44014739990234;26.60906982421875
1;6;"Pede deferimento.
";Pede deferimento.;155.89999389648438;464.57666015625;243.00796508789062;477.86572265625;155.89999389648438;243.00796508789062;363.934326171875;377.223388671875;87.10797119140625;13.2890625
1;7;"Fernanda Vidal Fehse
Procuradora Federal
Matrícula 1.358.173 – OAB/RS 54.649
";Fernanda Vidal Fehse Procuradora Federal Matrícula 1.358.173 – OAB/RS 54.649;203.57000732421875;557.6966552734375;392.4860534667969;597.5057373046875;203.57000732421875;392.4860534667969;244.2943115234375;284.1033935546875;188.91604614257812;39.80908203125
2;9;"RAZÕES DO RECURSO EXTRAORDINÁRIO
";RAZÕES DO RECURSO EXTRAORDINÁRIO;85.10401916503906;145.92666625976562;333.3700256347656;159.21572875976562;85.10401916503906;333.3700256347656;682.5843200683594;695.8733825683594;248.26600646972656;13.2890625
2;10;"Egrégio Superior Tribunal de Justiça
Colenda Turma
Eméritos Julgadores
 a) exposição do fato e do direito em causa
 Trata-se de ação ordinária ajuizada por segurado da previdência 
social, na qual objetiva a retroação da DIB de seu benefício, para fins de recálculo da 
RMI, com base nas regras vigentes sob a égide da Lei nº 6.950/81, apesar de ter
ocorrido a decadência do direito à revisão do ato de concessão do benefício.
";Egrégio Superior Tribunal de Justiça Colenda Turma Eméritos Julgadores;85.10401916503906;252.27667236328125;513.0140380859375;464.665771484375;85.10401916503906;513.0140380859375;377.13427734375;589.5233764648438;427.91001892089844;212.38909912109375
2;13;"A C. Turma julgadora entendeu por prover o pedido do autor.
";A C. Turma julgadora entendeu por prover o pedido do autor.;171.41001892089844;477.8966979980469;467.19805908203125;491.1857604980469;171.41001892089844;467.19805908203125;350.6142883300781;363.9033508300781;295.7880401611328;13.2890625
2;14;"Posteriormente, o INSS interpôs recurso de embargos declaratórios, 
para fins de ver aclarada a questão da decadência do direito à revisão do ato de 
concessão e o ato jurídico perfeito (art. 5º, XXXVI), que inviabilizaria a revisão 
deferida pelo Tribunal.
";Posteriormente, o INSS interpôs recurso de embargos declaratórios, para fins de ver aclarada a questão da decadência do direito à revisão do ato de concessão e o ato jurídico perfeito (art. 5º, XXXVI), que inviabilizaria a revisão deferida pelo Tribunal.;85.10401916503906;504.53668212890625;512.9521484375;557.665771484375;85.10401916503906;512.9521484375;284.13427734375;337.26336669921875;427.84812927246094;53.12908935546875
2;15;"Os embargos, no entanto, foram improvidos, o que configura violação 
ao art. 5º, XXXV, LIV e LV, da CF/88 (negativa de prestação jurisdicional).
";Os embargos, no entanto, foram improvidos, o que configura violação ao art. 5º, XXXV, LIV e LV, da CF/88 (negativa de prestação jurisdicional).;85.10401916503906;570.896728515625;512.84619140625;597.5057983398438;85.10401916503906;512.84619140625;244.29425048828125;270.9033203125;427.74217224121094;26.60906982421875
2;16;"Ademais, assim decidindo, o acórdão recorrido contrariou texto 
expresso da Constituição (art. 5º, XXXVI, 97 e 201), tudo conforme se demonstrará no 
presente recurso, cabendo a essa E. Corte Suprema proferir a palavra final no que se 
refere à interpretação de tais dispositivos constitucionais.
";Ademais, assim decidindo, o acórdão recorrido contrariou texto expresso da Constituição (art. 5º, XXXVI, 97 e 201), tudo conforme se demonstrará no presente recurso, cabendo a essa E. Corte Suprema proferir a palavra final no que se refere à interpretação de tais dispositivos constitucionais.;85.10401916503906;610.88671875;512.9881591796875;664.0158081054688;85.10401916503906;512.9881591796875;177.78424072265625;230.913330078125;427.88414001464844;53.12908935546875
2;17;"b) Do Objeto da decisão recorrida e motivos de interposição do Extraordinário
 O presente recurso é dirigido contra acórdão da Turma do TRF da 4ª 
Região que condenou o INSS a revisar o benefício da parte autora, com a retroação da 
DIB para fins de recálculo de benefício com base na Lei nº 6.950/81.
";b) Do Objeto da decisão recorrida e motivos de interposição do Extraordinário;85.10401916503906;690.8067626953125;512.9041748046875;757.0118408203125;85.10401916503906;512.9041748046875;84.7882080078125;150.9932861328125;427.80015563964844;66.205078125
3;19;"ADVOCACIA-GERAL DA UNIÃO
PROCURADORIA-GERAL FEDERAL
PROCURADORIA REGIONAL FEDERAL – 4ª REGIÃO
Em suma, pretende que a RMI de se benefício seria recalculada sob o 
teto de vinte salários mínimos em vigor até o advento da Lei nº 7.787/89, inclusive para 
fins de aplicação do art. 144 da Lei nº 8.213/91.
";ADVOCACIA-GERAL DA UNIÃO PROCURADORIA-GERAL FEDERAL PROCURADORIA REGIONAL FEDERAL – 4ª REGIÃO Em suma, pretende que a RMI de se benefício seria recalculada sob o teto de vinte salários mínimos em vigor até o advento da Lei nº 7.787/89, inclusive para fins de aplicação do art. 144 da Lei nº 8.213/91.;85.1040267944336;101.80000305175781;512.7861328125;172.1757354736328;85.1040267944336;512.7861328125;669.6243133544922;740.0000457763672;427.6821060180664;70.375732421875
3;20;"O acórdão recorrido acolheu a tese da parte autora. Considerou que o 
direito adquirido incidiria no caso para fins de deferir tal pretensão, embora o autor 
tenha decaído no direito à revisão pretendida, bem como tenha optado por permanecer 
em atividade, após ter completado o tempo de serviço mínimo para fins de 
aposentadoria, percebendo abono de permanência, o que afrontaria o ato jurídico 
perfeito. Afora isso, com o deferimento da possibilidade de aplicação das regras postas 
no art. 144 da Lei nº 8.213/91, apesar de o benefício ter sido concedido em período 
posterior ao ali previsto, acabou-se por afrontar o princípio da legalidade previdenciária.
";O acórdão recorrido acolheu a tese da parte autora. Considerou que o direito adquirido incidiria no caso para fins de deferir tal pretensão, embora o autor tenha decaído no direito à revisão pretendida, bem como tenha optado por permanecer em atividade, após ter completado o tempo de serviço mínimo para fins de aposentadoria, percebendo abono de permanência, o que afrontaria o ato jurídico perfeito. Afora isso, com o deferimento da possibilidade de aplicação das regras postas no art. 144 da Lei nº 8.213/91, apesar de o benefício ter sido concedido em período posterior ao ali previsto, acabou-se por afrontar o princípio da legalidade previdenciária.;85.1040267944336;185.52667236328125;513.07421875;291.84576416015625;85.1040267944336;513.07421875;549.9542846679688;656.2733764648438;427.9701919555664;106.319091796875
3;21;"Assim julgando, o r. acórdão contrariou o art. 5º, XXXVI, e 201, 
ambos da CF/88.
";Assim julgando, o r. acórdão contrariou o art. 5º, XXXVI, e 201, ambos da CF/88.;85.1040267944336;305.19671630859375;513.1340942382812;331.685791015625;85.1040267944336;513.1340942382812;510.1142578125;536.6033325195312;428.03006744384766;26.48907470703125
3;22;"Inconformado com tal decisório, o recorrente interpõe agora o 
presente recurso com fundamento na contrariedade a dispositivo constitucional (alínea 
“a”) conforme passa a demonstrar para fins de admissibilidade e julgamento do recurso.
";Inconformado com tal decisório, o recorrente interpõe agora o presente recurso com fundamento na contrariedade a dispositivo constitucional (alínea “a”) conforme passa a demonstrar para fins de admissibilidade e julgamento do recurso.;85.1040267944336;345.0367431640625;513.0501708984375;384.8458251953125;85.1040267944336;513.0501708984375;456.9542236328125;496.7633056640625;427.9461441040039;39.80908203125
